,City,Country,Lat,Lng,Date,Max Temp,Humidity,Clouds,Wind Speed
0,Punta Arenas,CL,-53.15,-70.92,1601716955,41.0,65,75,19.46
1,Bonthe,SL,7.53,-12.51,1601716956,78.48,86,99,3.06
2,Kapaa,US,22.08,-159.32,1601716957,80.6,83,75,4.7
3,Nanortalik,GL,60.14,-45.24,1601716958,37.04,91,97,12.97
4,Naze,JP,28.37,129.48,1601716959,80.6,69,20,11.41
5,Half Moon Bay,US,37.46,-122.43,1601716959,64.0,77,90,4.9
6,Entre Rios,BR,-11.94,-38.08,1601716960,68.05,93,16,1.45
7,George,ZA,-33.96,22.46,1601716960,60.8,93,75,18.34
8,Mossamedes,AO,-15.2,12.15,1601716961,66.2,82,75,13.87
9,Darhan,MN,49.49,105.92,1601716962,40.33,57,2,6.8
10,Ushuaia,AR,-54.8,-68.3,1601716962,37.4,69,90,4.7
11,Rikitea,PF,-23.12,-134.97,1601716963,72.72,79,36,15.59
12,Forio,IT,40.73,13.86,1601716963,81.0,73,40,23.04
13,Hermanus,ZA,-34.42,19.23,1601716964,60.01,92,99,5.01
14,George Town,MY,5.41,100.34,1601716965,86.0,70,20,5.82
15,Seydi,TM,39.48,62.91,1601716965,75.87,17,0,5.19
16,Cape Town,ZA,-33.93,18.42,1601716853,69.8,49,20,8.05
17,Lata,PT,40.16,-8.33,1601716966,55.99,82,4,1.01
18,Brawley,US,32.98,-115.53,1601716967,73.4,27,1,4.7
19,Pacific Grove,US,36.62,-121.92,1601716967,55.4,100,90,4.7
20,Kailua,US,21.4,-157.74,1601716968,78.8,83,75,4.7
21,Mehamn,NO,71.04,27.85,1601716969,49.46,78,42,16.64
22,Avarua,CK,-21.21,-159.78,1601716970,73.4,83,97,3.36
23,Atuona,PF,-9.8,-139.03,1601716970,78.64,76,4,22.7
24,Talnakh,RU,69.49,88.4,1601716971,32.0,95,40,24.61
25,Atasū,KZ,48.68,71.64,1601716972,58.15,36,4,6.76
26,Cidreira,BR,-30.18,-50.21,1601716972,59.85,80,100,15.43
27,Dhībān,SY,35.04,40.52,1601716973,91.11,19,0,10.63
28,Kirakira,SB,-10.45,161.92,1601716973,78.39,81,28,9.57
29,Plouzané,FR,48.38,-4.62,1601716974,55.4,82,90,27.51
30,Diffa,NE,13.32,12.61,1601716974,88.97,49,73,13.67
31,Port Alfred,ZA,-33.59,26.89,1601716975,62.58,79,99,24.4
32,Severo-Kuril'sk,RU,50.68,156.12,1601716976,46.24,77,0,11.16
33,Champerico,GT,14.3,-91.92,1601716976,66.0,96,100,10.29
34,Yarmouth,US,41.71,-70.23,1601716977,50.0,93,1,6.82
35,Pampa,US,35.54,-100.96,1601716977,53.6,71,1,5.82
36,Goulburn,AU,-34.75,149.72,1601716978,59.0,56,5,8.16
37,Cherskiy,RU,68.75,161.3,1601716979,30.96,90,100,5.17
38,Hobart,AU,-42.88,147.33,1601716741,57.2,82,75,6.93
39,Esperance,AU,-33.87,121.9,1601716980,51.8,93,90,12.75
40,Presidente Médici,BR,-11.18,-61.9,1601716880,73.89,86,87,2.04
41,Port Elizabeth,ZA,-33.92,25.57,1601716981,59.0,87,75,12.75
42,Saskylakh,RU,71.92,114.08,1601716982,26.69,97,82,12.33
43,Dikson,RU,73.51,80.55,1601716982,34.9,86,100,22.73
44,Te Anau,NZ,-45.42,167.72,1601716983,49.78,88,78,9.08
45,Saldanha,ZA,-33.01,17.94,1601716984,64.4,63,0,4.7
46,Puerto Ayora,EC,-0.74,-90.35,1601716985,64.99,96,48,7.0
47,Alice Springs,AU,-23.7,133.88,1601716967,93.2,13,1,11.41
48,Los Llanos de Aridane,ES,28.66,-17.92,1601716845,73.4,73,75,11.41
49,Albany,US,42.6,-73.97,1601716987,46.0,85,67,3.09
50,Yellowknife,CA,62.46,-114.35,1601716988,42.8,100,90,10.29
51,Lakatoro,VU,-16.1,167.42,1601716988,77.0,88,75,9.17
52,Mataura,NZ,-46.19,168.86,1601716989,55.0,92,100,8.99
53,Lac du Bonnet,CA,50.25,-96.06,1601716990,30.99,99,30,3.02
54,Bluff,NZ,-46.6,168.33,1601716990,55.0,92,100,8.99
55,Soure,BR,-0.72,-48.52,1601716991,78.67,87,78,9.01
56,Ilulissat,GL,69.22,-51.1,1601716992,33.8,74,99,11.41
57,Kurtamysh,RU,54.91,64.43,1601716993,59.45,64,100,13.0
58,Ihosy,MG,-22.4,46.12,1601716994,84.24,37,72,6.17
59,Vaini,TO,-21.2,-175.2,1601716995,71.6,100,90,10.29
60,Azul,AR,-36.78,-59.86,1601716798,30.54,98,0,6.46
61,Longyearbyen,SJ,78.22,15.64,1601716928,32.0,91,20,2.24
62,Castro,BR,-24.79,-50.01,1601716876,62.19,70,3,7.76
63,Khovd,MN,48.01,91.64,1601716997,42.19,57,0,4.83
64,Caravelas,BR,-17.71,-39.25,1601716997,70.32,90,77,5.21
65,San Vicente,AR,-26.62,-54.13,1601716998,65.79,89,43,5.46
66,Dingle,PH,11.0,122.67,1601716998,79.74,89,100,1.28
67,Norman Wells,CA,65.28,-126.83,1601716999,44.6,75,75,3.36
68,Hilo,US,19.73,-155.09,1601717000,75.2,83,1,4.7
69,Saint George,US,37.1,-113.58,1601716749,66.2,9,1,4.72
70,Camaná,PE,-16.62,-72.71,1601717001,60.01,80,75,9.51
71,Lorengau,PG,-2.02,147.27,1601717001,81.77,79,72,9.91
72,Tiksi,RU,71.69,128.87,1601717002,25.29,94,0,21.14
73,East London,ZA,-33.02,27.91,1601717003,59.0,93,75,12.75
74,Geraldton,AU,-28.77,114.6,1601717003,62.6,45,0,21.92
75,Chacabuco,AR,-34.64,-60.47,1601717004,39.99,84,10,1.01
76,Emba,KZ,48.83,58.14,1601717005,66.31,26,0,5.23
77,Veinticinco de Mayo,AR,-35.43,-60.17,1601717005,41.0,84,13,1.01
78,Vostok,RU,46.49,135.88,1601717006,42.06,96,0,6.08
79,Buin,CL,-33.73,-70.75,1601717007,45.0,83,5,4.7
80,Mar del Plata,AR,-38.0,-57.56,1601717008,44.01,52,75,11.41
81,Bitam,GA,2.08,11.5,1601717008,75.2,83,90,2.24
82,Marevo,RU,57.31,32.08,1601717009,57.4,63,100,9.22
83,Bethel,US,41.37,-73.41,1601717010,46.0,87,1,3.11
84,Chul'man,RU,56.85,124.91,1601717010,35.83,82,100,11.27
85,San Patricio,MX,19.22,-104.7,1601717011,75.96,88,2,3.85
86,Vestmannaeyjar,IS,63.44,-20.27,1601717011,39.2,86,20,9.17
87,Broome,US,42.25,-75.83,1601717012,44.01,93,90,5.82
88,Bowen,AU,-20.02,148.23,1601717013,71.6,73,40,17.22
89,Arrondissement de Lannion,FR,48.75,-3.42,1601717013,55.4,93,100,24.16
90,Katsuura,JP,35.13,140.3,1601717014,73.4,64,75,9.17
91,Hasaki,JP,35.73,140.83,1601717014,70.0,82,75,5.82
92,Turukhansk,RU,65.82,87.98,1601717015,43.43,95,100,7.63
93,Thompson,CA,55.74,-97.86,1601717003,32.0,99,75,3.36
94,Oussouye,SN,12.48,-16.55,1601717016,84.2,83,40,4.7
95,Parfino,RU,57.97,31.65,1601717017,58.78,63,98,8.68
96,Lüderitz,NA,-26.65,15.16,1601717017,63.66,53,0,8.93
97,Adré,TD,13.47,22.2,1601717018,86.18,47,0,3.6
98,Bat Khela,PK,34.62,71.97,1601717019,87.89,20,0,5.08
99,Mount Gambier,AU,-37.83,140.77,1601717019,57.2,87,98,8.05
100,Yeppoon,AU,-23.13,150.73,1601716858,73.4,56,6,10.29
101,Karlivka,UA,49.46,35.13,1601717021,67.05,52,15,12.46
102,Hong Kong,HK,22.29,114.16,1601716872,88.0,68,0,7.0
